parceiro;grupo_controle;grupo_variante;metrica;label;n_controle;n_variante;media_controle;media_variante;shapiro_stat_controle;shapiro_p_controle;shapiro_normal_controle;shapiro_stat_variante;shapiro_p_variante;shapiro_normal_variante;ttest_stat;ttest_p;ttest_significant;mwu_stat;mwu_p;mwu_significant;cohens_d;cohens_d_magnitude;ci_95_lower;ci_95_upper;uplift_absoluto;uplift_relativo_pct;warning
Parceiro B;Grupo 1;Grupo 2;compradores;Compradores (únicos/dia);61;61;130,9836;89,377;0,7286;0,0;False;0,6555;0,0;False;5,0487;2e-06;True;3126,0;0,0;True;-0,9142;grande;-57,9288;-25,2843;-41,6066;-31,76;
Parceiro B;Grupo 1;Grupo 2;vendas_totais;Vendas Totais — GMV (R$);61;61;67111,7705;46934,7377;0,7661;0,0;False;0,7414;0,0;False;4,538;1,4e-05;True;2950,0;0,0;True;-0,8217;grande;-28985,0486;-11369,017;-20177,0328;-30,06;
Parceiro B;Grupo 1;Grupo 2;comissao;Comissão (R$);61;61;7382,3115;5162,8689;0,7661;0,0;False;0,7414;0,0;False;4,5379;1,4e-05;True;2950,0;0,0;True;-0,8217;grande;-3188,3153;-1250,5699;-2219,4426;-30,06;
Parceiro B;Grupo 1;Grupo 2;cashback;Cashback Distribuído (R$);61;61;2684,4426;2816,0328;0,7661;0,0;False;0,7414;0,0;False;-0,6078;0,544482;False;1778,0;0,674575;False;0,1101;negligível;-297,1745;560,3549;131,5902;4,9;
Parceiro B;Grupo 1;Grupo 2;lucro;Lucro Líquido (R$);61;61;4697,8689;2346,8361;0,7661;0,0;False;0,7413;0,0;False;8,3869;0,0;True;3458,0;0,0;True;-1,5186;grande;-2907,5544;-1794,5111;-2351,0328;-50,04;
Parceiro B;Grupo 1;Grupo 2;roi_cashback;ROI do Cashback (vendas/cashback);61;61;25,0004;16,667;0,9879;0,8107;True;0,9897;0,8889;True;18886,5678;0,0;True;3721,0;0,0;True;-3419,819;grande;-8,3343;-8,3326;-8,3334;-33,33;
Parceiro B;Grupo 1;Grupo 2;ticket_medio;Ticket Médio (R$);61;61;510,624;525,5924;0,9631;0,0632;True;0,9373;0,0037;False;-1,3992;0,164344;False;1594,0;0,173185;False;0,2534;pequeno;-6,2137;36,1505;14,9684;2,93;
Parceiro B;Grupo 1;Grupo 3;compradores;Compradores (únicos/dia);61;61;130,9836;82,4426;0,7286;0,0;False;0,6972;0,0;False;6,3222;0,0;True;3290,0;0,0;True;-1,1448;grande;-63,7632;-33,3188;-48,541;-37,06;
Parceiro B;Grupo 1;Grupo 3;vendas_totais;Vendas Totais — GMV (R$);61;61;67111,7705;43114,1475;0,7661;0,0;False;0,7388;0,0;False;5,6987;0,0;True;3136,0;0,0;True;-1,0319;grande;-32346,9699;-15648,276;-23997,623;-35,76;
Parceiro B;Grupo 1;Grupo 3;comissao;Comissão (R$);61;61;7382,3115;4742,459;0,7661;0,0;False;0,7388;0,0;False;5,6989;0,0;True;3136,0;0,0;True;-1,0319;grande;-3558,2814;-1721,4235;-2639,8525;-35,76;
Parceiro B;Grupo 1;Grupo 3;cashback;Cashback Distribuído (R$);61;61;2684,4426;3880,2787;0,7661;0,0;False;0,7388;0,0;False;-4,7027;8e-06;True;745,0;0,0;True;0,8515;grande;691,5454;1700,1267;1195,8361;44,55;
Parceiro B;Grupo 1;Grupo 3;lucro;Lucro Líquido (R$);61;61;4697,8689;862,1803;0,7661;0,0;False;0,7388;0,0;False;15,4336;0,0;True;3715,0;0,0;True;-2,7946;grande;-4332,1083;-3339,2688;-3835,6885;-81,65;
Parceiro B;Grupo 1;Grupo 3;roi_cashback;ROI do Cashback (vendas/cashback);61;61;25,0004;11,1111;0,9879;0,8107;True;0,9758;0,2689;True;34998,7832;0,0;True;3721,0;0,0;True;-6337,2819;grande;-13,8901;-13,8885;-13,8893;-55,56;
Parceiro B;Grupo 1;Grupo 3;ticket_medio;Ticket Médio (R$);61;61;510,624;523,8683;0,9631;0,0632;True;0,9137;0,0004;False;-1,2016;0,231934;False;1649,0;0,279957;False;0,2176;pequeno;-8,5833;35,0721;13,2444;2,59;
