parceiro;grupo;metrica;label;n_obs;soma;media;mediana;std;variancia;cv_pct;minimo;maximo;amplitude;q25;q50;q75;iqr;skewness;kurtosis
Parceiro C;Grupo 1;compradores;Compradores (únicos/dia);45;4549,0;101,0889;101,0;23,8621;569,401;23,61;57,0;140,0;83,0;77,0;101,0;123,0;46,0;0,0236;-1,2173
Parceiro C;Grupo 1;vendas_totais;Vendas Totais — GMV (R$);45;1738460,0;38632,4444;38019,0;9985,9479;99719155,298;25,85;23473,0;57551,0;34078,0;29761,0;38019,0;45968,0;16207,0;0,1243;-1,1748
Parceiro C;Grupo 1;comissao;Comissão (R$);45;121693,0;2704,2889;2661,0;698,964;488550,6646;25,85;1643,0;4029,0;2386,0;2083,0;2661,0;3218,0;1135,0;0,1243;-1,1745
Parceiro C;Grupo 1;cashback;Cashback Distribuído (R$);45;86924,0;1931,6444;1901,0;499,2793;249279,8253;25,85;1174,0;2878,0;1704,0;1488,0;1901,0;2298,0;810,0;0,1244;-1,1742
Parceiro C;Grupo 1;lucro;Lucro Líquido (R$);45;34769,0;772,6444;760,0;199,6851;39874,1434;25,84;469,0;1151,0;682,0;595,0;760,0;920,0;325,0;0,124;-1,1751
Parceiro C;Grupo 1;roi_cashback;ROI do Cashback (vendas/cashback);45;899,99;19,9997;19,9995;0,0031;0,0;0,02;19,9931;20,0067;0,0137;19,9975;19,9995;20,0024;0,0049;0,0476;-0,5698
Parceiro C;Grupo 1;ticket_medio;Ticket Médio (R$);45;17210,35;382,4522;387,2786;42,3101;1790,1414;11,06;304,8442;454,1558;149,3117;348,9412;387,2786;413,3472;64,406;-0,1465;-0,9811
Parceiro C;Grupo 2;compradores;Compradores (únicos/dia);45;4522,0;100,4889;105,0;33,1653;1099,9374;33,0;26,0;152,0;126,0;79,0;105,0;123,0;44,0;-0,4138;-0,6403
Parceiro C;Grupo 2;vendas_totais;Vendas Totais — GMV (R$);45;1685235,0;37449,6667;36295,0;13309,5234;177143412,0909;35,54;8005,0;65543,0;57538,0;28454,0;36295,0;46424,0;17970,0;-0,0863;-0,493
Parceiro C;Grupo 2;comissao;Comissão (R$);45;117967,0;2621,4889;2541,0;931,7264;868114,1192;35,54;560,0;4588,0;4028,0;1992,0;2541,0;3250,0;1258,0;-0,0865;-0,4929
Parceiro C;Grupo 2;cashback;Cashback Distribuído (R$);45;117967,0;2621,4889;2541,0;931,7264;868114,1192;35,54;560,0;4588,0;4028,0;1992,0;2541,0;3250,0;1258,0;-0,0865;-0,4929
Parceiro C;Grupo 2;lucro;Lucro Líquido (R$);45;0,0;0,0;0,0;0,0;0,0;;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;
Parceiro C;Grupo 2;roi_cashback;ROI do Cashback (vendas/cashback);45;642,87;14,2859;14,2857;0,002;0,0;0,01;14,2834;14,2946;0,0112;14,2843;14,2857;14,2868;0,0025;1,8862;5,7327
Parceiro C;Grupo 2;ticket_medio;Ticket Médio (R$);45;16752,24;372,272;374,1753;43,9963;1935,6746;11,82;304,8974;450,6316;145,7341;334,3026;374,1753;409,4766;75,174;0,0414;-1,3063
