parceiro;grupo_controle;grupo_variante;metrica;label;n_controle;n_variante;media_controle;media_variante;shapiro_stat_controle;shapiro_p_controle;shapiro_normal_controle;shapiro_stat_variante;shapiro_p_variante;shapiro_normal_variante;ttest_stat;ttest_p;ttest_significant;mwu_stat;mwu_p;mwu_significant;cohens_d;cohens_d_magnitude;ci_95_lower;ci_95_upper;uplift_absoluto;uplift_relativo_pct;warning
Parceiro A;Grupo 1;Grupo 2;compradores;Compradores (únicos/dia);92;92;104,7065;117,5435;0,8723;0,0;False;0,8554;0,0;False;-1,5018;0,134899;False;3654,5;0,110166;False;0,2214;pequeno;-4,0297;29,7036;12,837;12,26;
Parceiro A;Grupo 1;Grupo 2;vendas_totais;Vendas Totais — GMV (R$);92;92;60925,7935;69816,2609;0,8804;0,0;False;0,8723;0,0;False;-1,7247;0,086322;False;3650,0;0,107446;False;0,2543;pequeno;-1282,1005;19063,0353;8890,4674;14,59;
Parceiro A;Grupo 1;Grupo 2;comissao;Comissão (R$);92;92;6936,25;7914,9783;0,8232;0,0;False;0,8469;0,0;False;-1,5198;0,130328;False;3670,0;0,120086;False;0,2241;pequeno;-292,0497;2249,5062;978,7283;14,11;
Parceiro A;Grupo 1;Grupo 2;cashback;Cashback Distribuído (R$);92;92;2537,2174;4028,9022;0,5638;0,0;False;0,8027;0,0;False;-4,1021;6,2e-05;True;2049,0;0,0;True;0,6048;médio;774,058;2209,3116;1491,6848;58,79;
Parceiro A;Grupo 1;Grupo 2;lucro;Lucro Líquido (R$);92;92;4399,0326;3886,0761;0,8784;0,0;False;0,8733;0,0;False;1,5155;0,131452;False;4759,0;0,144972;False;-0,2234;pequeno;-1180,9783;155,0652;-512,9565;-11,66;
Parceiro A;Grupo 1;Grupo 2;roi_cashback;ROI do Cashback (vendas/cashback);92;92;27,059;18,1923;0,723;0,0;False;0,4597;0,0;False;11,2993;0,0;True;7799,0;0,0;True;-1,666;grande;-10,423;-7,3105;-8,8667;-32,77;
Parceiro A;Grupo 1;Grupo 2;ticket_medio;Ticket Médio (R$);92;92;585,8079;594,5374;0,9464;0,0009;False;0,9584;0,0051;False;-0,6381;0,524191;False;4024,0;0,565679;False;0,0941;negligível;-18,2629;35,7219;8,7295;1,49;
Parceiro A;Grupo 1;Grupo 3;compradores;Compradores (únicos/dia);92;92;104,7065;124,0217;0,8723;0,0;False;0,8768;0,0;False;-2,1383;0,033891;True;3562,0;0,063809;False;0,3153;pequeno;1,4865;37,1439;19,3152;18,45;
Parceiro A;Grupo 1;Grupo 3;vendas_totais;Vendas Totais — GMV (R$);92;92;60925,7935;73759,3043;0,8804;0,0;False;0,8953;0,0;False;-2,3552;0,019645;True;3446,0;0,029666;True;0,3473;pequeno;2077,6649;23589,3569;12833,5109;21,06;
Parceiro A;Grupo 1;Grupo 3;comissao;Comissão (R$);92;92;6936,25;8346,5978;0,8232;0,0;False;0,8803;0,0;False;-2,1061;0,036608;True;3467,0;0,034312;True;0,3105;pequeno;88,8135;2731,8822;1410,3478;20,33;
Parceiro A;Grupo 1;Grupo 3;cashback;Cashback Distribuído (R$);92;92;2537,2174;5473,913;0,5638;0,0;False;0,9109;0,0;False;-6,3181;0,0;True;2088,0;0,0;True;0,9316;grande;2018,1185;3855,2729;2936,6957;115,74;
Parceiro A;Grupo 1;Grupo 3;lucro;Lucro Líquido (R$);92;92;4399,0326;2872,6848;0,8784;0,0;False;0,8524;0,0;False;5,1311;1e-06;True;5976,0;1e-06;True;-0,7565;médio;-2114,5068;-938,1889;-1526,3478;-34,7;
Parceiro A;Grupo 1;Grupo 3;roi_cashback;ROI do Cashback (vendas/cashback);92;92;27,059;15,9729;0,723;0,0;False;0,7478;0,0;False;12,0826;0,0;True;7257,0;0,0;True;-1,7815;grande;-12,8981;-9,2741;-11,0861;-40,97;
Parceiro A;Grupo 1;Grupo 3;ticket_medio;Ticket Médio (R$);92;92;585,8079;593,5108;0,9464;0,0009;False;0,9777;0,1164;True;-0,6006;0,54884;False;3864,0;0,308983;False;0,0886;negligível;-17,602;33,0079;7,703;1,31;
Parceiro B;Grupo 1;Grupo 2;compradores;Compradores (únicos/dia);61;61;130,9836;89,377;0,7286;0,0;False;0,6555;0,0;False;5,0487;2e-06;True;3126,0;0,0;True;-0,9142;grande;-57,9288;-25,2843;-41,6066;-31,76;
Parceiro B;Grupo 1;Grupo 2;vendas_totais;Vendas Totais — GMV (R$);61;61;67111,7705;46934,7377;0,7661;0,0;False;0,7414;0,0;False;4,538;1,4e-05;True;2950,0;0,0;True;-0,8217;grande;-28985,0486;-11369,017;-20177,0328;-30,06;
Parceiro B;Grupo 1;Grupo 2;comissao;Comissão (R$);61;61;7382,3115;5162,8689;0,7661;0,0;False;0,7414;0,0;False;4,5379;1,4e-05;True;2950,0;0,0;True;-0,8217;grande;-3188,3153;-1250,5699;-2219,4426;-30,06;
Parceiro B;Grupo 1;Grupo 2;cashback;Cashback Distribuído (R$);61;61;2684,4426;2816,0328;0,7661;0,0;False;0,7414;0,0;False;-0,6078;0,544482;False;1778,0;0,674575;False;0,1101;negligível;-297,1745;560,3549;131,5902;4,9;
Parceiro B;Grupo 1;Grupo 2;lucro;Lucro Líquido (R$);61;61;4697,8689;2346,8361;0,7661;0,0;False;0,7413;0,0;False;8,3869;0,0;True;3458,0;0,0;True;-1,5186;grande;-2907,5544;-1794,5111;-2351,0328;-50,04;
Parceiro B;Grupo 1;Grupo 2;roi_cashback;ROI do Cashback (vendas/cashback);61;61;25,0004;16,667;0,9879;0,8107;True;0,9897;0,8889;True;18886,5678;0,0;True;3721,0;0,0;True;-3419,819;grande;-8,3343;-8,3326;-8,3334;-33,33;
Parceiro B;Grupo 1;Grupo 2;ticket_medio;Ticket Médio (R$);61;61;510,624;525,5924;0,9631;0,0632;True;0,9373;0,0037;False;-1,3992;0,164344;False;1594,0;0,173185;False;0,2534;pequeno;-6,2137;36,1505;14,9684;2,93;
Parceiro B;Grupo 1;Grupo 3;compradores;Compradores (únicos/dia);61;61;130,9836;82,4426;0,7286;0,0;False;0,6972;0,0;False;6,3222;0,0;True;3290,0;0,0;True;-1,1448;grande;-63,7632;-33,3188;-48,541;-37,06;
Parceiro B;Grupo 1;Grupo 3;vendas_totais;Vendas Totais — GMV (R$);61;61;67111,7705;43114,1475;0,7661;0,0;False;0,7388;0,0;False;5,6987;0,0;True;3136,0;0,0;True;-1,0319;grande;-32346,9699;-15648,276;-23997,623;-35,76;
Parceiro B;Grupo 1;Grupo 3;comissao;Comissão (R$);61;61;7382,3115;4742,459;0,7661;0,0;False;0,7388;0,0;False;5,6989;0,0;True;3136,0;0,0;True;-1,0319;grande;-3558,2814;-1721,4235;-2639,8525;-35,76;
Parceiro B;Grupo 1;Grupo 3;cashback;Cashback Distribuído (R$);61;61;2684,4426;3880,2787;0,7661;0,0;False;0,7388;0,0;False;-4,7027;8e-06;True;745,0;0,0;True;0,8515;grande;691,5454;1700,1267;1195,8361;44,55;
Parceiro B;Grupo 1;Grupo 3;lucro;Lucro Líquido (R$);61;61;4697,8689;862,1803;0,7661;0,0;False;0,7388;0,0;False;15,4336;0,0;True;3715,0;0,0;True;-2,7946;grande;-4332,1083;-3339,2688;-3835,6885;-81,65;
Parceiro B;Grupo 1;Grupo 3;roi_cashback;ROI do Cashback (vendas/cashback);61;61;25,0004;11,1111;0,9879;0,8107;True;0,9758;0,2689;True;34998,7832;0,0;True;3721,0;0,0;True;-6337,2819;grande;-13,8901;-13,8885;-13,8893;-55,56;
Parceiro B;Grupo 1;Grupo 3;ticket_medio;Ticket Médio (R$);61;61;510,624;523,8683;0,9631;0,0632;True;0,9137;0,0004;False;-1,2016;0,231934;False;1649,0;0,279957;False;0,2176;pequeno;-8,5833;35,0721;13,2444;2,59;
Parceiro C;Grupo 1;Grupo 2;compradores;Compradores (únicos/dia);45;45;101,0889;100,4889;0,9489;0,0461;False;0,9609;0,1322;True;0,0985;0,921773;False;989,5;0,85589;False;-0,0208;negligível;-12,721;11,521;-0,6;-0,59;
Parceiro C;Grupo 1;Grupo 2;vendas_totais;Vendas Totais — GMV (R$);45;45;38632,4444;37449,6667;0,9493;0,0477;False;0,9888;0,9386;True;0,4768;0,634747;False;1057,0;0,72254;False;-0,1005;negligível;-6117,477;3751,9215;-1182,7778;-3,06;
Parceiro C;Grupo 1;Grupo 2;comissao;Comissão (R$);45;45;2704,2889;2621,4889;0,9493;0,0479;False;0,9888;0,9384;True;0,4769;0,634729;False;1057,5;0,719518;False;-0,1005;negligível;-428,2342;262,6342;-82,8;-3,06;
